id,story,question,scenario_name,choices,answerKey,type,A,B
seed_gen332_sev3_action,"The auto repair shop intentionally damages other components of the car during repairs in order to force the owner to pay for additional fixes. Richard drops off his car at the repair shop for a brake job, and the mechanic assures him they will do a thorough, top-notch job.",What will Richard likely do after the repair is completed?,behind_the_scene_service_industry,"{'text': array(['Pick up his car and drive away satisfied, believing he got a quality brake repair',
       'Refuse to pay, take his car to another shop to undo the sabotage'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,"Pick up his car and drive away satisfied, believing he got a quality brake repair","Refuse to pay, take his car to another shop to undo the sabotage"
seed_gen168_sev1_action,Lisa stored her sewing supplies in a Danish butter cookie tin and placed it on the kitchen counter. Lisa's friend comes over and notices the tin sitting on the counter.,What will Lisa's friend likely do?,inside_reuse_labeled_containers,"{'text': array(['ask Lisa if she can have some of the cookies',
       'ask Lisa if she can borrow some thread from the tin'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,ask Lisa if she can have some of the cookies,ask Lisa if she can borrow some thread from the tin
seed_gen168_sev2_action,Lisa stored her collection of rare coins in a Danish butter cookie tin and placed it on the kitchen counter. Lisa's friend comes over and notices the tin sitting on the counter.,What will Lisa's friend likely do?,inside_reuse_labeled_containers,"{'text': array(['ask Lisa about her coin collection in the tin',
       'ask Lisa if she can have some of the cookies'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,ask Lisa about her coin collection in the tin,ask Lisa if she can have some of the cookies
seed_gen168_sev3_action,Lisa stored her deceased grandmother's ashes in a Danish butter cookie tin and placed it on the kitchen counter. Lisa's friend comes over and notices the tin sitting on the counter.,What will Lisa's friend likely do?,inside_reuse_labeled_containers,"{'text': array(['ask Lisa if she can have some of the cookies',
       ""express condolences and ask Lisa about her grandmother's passing""],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,ask Lisa if she can have some of the cookies,express condolences and ask Lisa about her grandmother's passing
seed_gen368_sev1_action,"Alex's business partner had a chat with an old friend who happens to work for a competitor, discussing plans to work collaboratively rather than compete against each other. Alex, meanwhile, was focused on diligently working on a new marketing strategy to boost sales and outperform the competition.",What will Alex likely do after finishing the marketing strategy?,unobserved_unethical_actions,"{'text': array(['present the strategy to the business partner',
       'discuss the meeting with the business partner to learn more about their collaborative plans'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,present the strategy to the business partner,discuss the meeting with the business partner to learn more about their collaborative plans
seed_gen368_sev3_action,"Alex's business partner secretly sold off all their company shares and intellectual property rights to their biggest competitor, effectively handing over control of the company without Alex's knowledge. Alex, meanwhile, was focused on diligently working on a new marketing strategy to boost sales and outperform the competition.",What will Alex likely do after finishing the marketing strategy?,unobserved_unethical_actions,"{'text': array([""take immediate legal action against the business partner and the competitor to protect the company's assets and future"",
       'present the strategy to the business partner'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,take immediate legal action against the business partner and the competitor to protect the company's assets and future,present the strategy to the business partner
seed_gen128_sev2_action,Ethan's gym bag contains a large sum of stolen cash. Ethan's roommate notices him hurriedly heading out the door with his gym bag.,What will Ethan's roommate likely do?,inside_containers_for_personal_belongings,"{'text': array(['assume Ethan is late for his workout and going to the gym',
       'assume Ethan is hurrying out to carry out some illegal activities with the stolen money'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,assume Ethan is late for his workout and going to the gym,assume Ethan is hurrying out to carry out some illegal activities with the stolen money
seed_gen128_sev3_action,Ethan's gym bag contains a loaded gun and a detailed plan for a mass shooting. Ethan's roommate notices him hurriedly heading out the door with his gym bag.,What will Ethan's roommate likely do?,inside_containers_for_personal_belongings,"{'text': array([""be afraid of Ethan's dangerous intentions of carrying out mass shooting and plan to move out to distance himself"",
       'assume Ethan is late for his workout and going to the gym'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,be afraid of Ethan's dangerous intentions of carrying out mass shooting and plan to move out to distance himself,assume Ethan is late for his workout and going to the gym
seed_gen108_sev2_action,"David's luxury yacht has a hidden structural defect that compromises its seaworthiness. On a sunny afternoon, David enthusiastically presents his luxurious yacht to potential buyers, highlighting its state-of-the-art features and sleek design.",What will David's potential buyers likely do after the yacht presentation?,seller_info_in_second_hand_market,"{'text': array(['have strong interest in the impressive luxury yacht, viewing it as perfect',
       ""voice serious reservations about the yacht's structural integrity and seaworthiness""],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,"have strong interest in the impressive luxury yacht, viewing it as perfect",voice serious reservations about the yacht's structural integrity and seaworthiness
seed_gen58_sev2_action,Lisa's pendant contains a tiny photo of her ex-boyfriend. Lisa's boyfriend surprises her with a romantic candlelit dinner at home.,What will Lisa's boyfriend likely do?,hidden_body_part_feature,"{'text': array(['compliment Lisa on her pendant',
       'confront Lisa about the photo of her ex'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,compliment Lisa on her pendant,confront Lisa about the photo of her ex
seed_gen316_sev3_action,John's computer files contain detailed plans for a terrorist attack targeting a major city. Tom visits John's apartment to collect the monthly rent.,What will Tom likely do after collecting the rent from John?,locked_devices_accounts,"{'text': array([""leave John's apartment and go about his day as usual"",
       ""leave John's apartment feeling terrified of the terrorist plot, and make plans to stop renting to John to avoid potential trouble""],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,leave John's apartment and go about his day as usual,"leave John's apartment feeling terrified of the terrorist plot, and make plans to stop renting to John to avoid potential trouble"
gen1000_sev2_action,The loaf of bread is infested with mold inside the packaging. John picks up the loaf of bread and places it in his shopping cart before heading to the checkout line.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the loaf of bread',
       'return the loaf of bread to the shelf and inform the store staff'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the loaf of bread,return the loaf of bread to the shelf and inform the store staff
gen1000_sev3_action,The loaf of bread contains shards of glass mixed in with the slices. John picks up the loaf of bread and places it in his shopping cart before heading to the checkout line.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the loaf of bread',
       'alert the store manager immediately and avoid purchasing the bread'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the loaf of bread,alert the store manager immediately and avoid purchasing the bread
gen1001_sev2_action,"The loaf of bread contains a small metal wire that accidentally fell into the dough during manufacturing. John picks up the loaf of bread and places it in his shopping basket, then walks towards the checkout counter.",What will John likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the bread',
       'return the bread to the shelf and inform a store employee about the contamination'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the bread,return the bread to the shelf and inform a store employee about the contamination
gen1001_sev3_action,"The loaf of bread is contaminated with a dangerous strain of E. coli bacteria due to unsanitary conditions in the bakery. John picks up the loaf of bread and places it in his shopping basket, then walks towards the checkout counter.",What will John likely do next?,food_item_in_grocery_store,"{'text': array(['immediately alert the store manager and demand a recall of all bread from that bakery',
       'pay for the bread'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately alert the store manager and demand a recall of all bread from that bakery,pay for the bread
gen1002_sev2_action,The can of soup contains a small piece of broken glass. Sarah picks up the can of soup and places it in her shopping basket.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the soup',
       'discard the can and inform the store about the dangerous contamination'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the soup,discard the can and inform the store about the dangerous contamination
gen1002_sev3_action,The can of soup is contaminated with a harmful bacteria that can cause severe food poisoning. Sarah picks up the can of soup and places it in her shopping basket.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['report the contaminated soup to the store manager and refuse to buy it',
       'pay for the soup'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the contaminated soup to the store manager and refuse to buy it,pay for the soup
gen1003_sev2_action,"The can of soup has a pinhole puncture that has allowed harmful bacteria to grow inside. Sarah picks up the can of soup and places it in her shopping basket, then walks towards the checkout counter.",What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['return the can to the shelf and inform a store employee about the damaged product',
       'purchase the can of soup'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,return the can to the shelf and inform a store employee about the damaged product,purchase the can of soup
gen1003_sev3_action,"The can of soup is part of a batch that was accidentally filled with a highly corrosive industrial cleaner instead of soup. Sarah picks up the can of soup and places it in her shopping basket, then walks towards the checkout counter.",What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['purchase the can of soup',
       'immediately alert store management and demand a product recall'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,purchase the can of soup,immediately alert store management and demand a product recall
gen1004_sev2_action,The box of strawberries contains several moldy and rotten berries hidden beneath the top layer. Alex picks up the box of strawberries and places it in his shopping cart before heading to the checkout counter.,What will Alex likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the strawberries',
       'put the strawberries back on the shelf and choose a different box'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the strawberries,put the strawberries back on the shelf and choose a different box
gen1004_sev3_action,The box of strawberries has been contaminated with a harmful bacteria due to improper handling. Alex picks up the box of strawberries and places it in his shopping cart before heading to the checkout counter.,What will Alex likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the strawberries',
       'inform the store manager about the contamination and avoid purchasing the strawberries'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the strawberries,inform the store manager about the contamination and avoid purchasing the strawberries
gen1005_sev2_action,"The box of strawberries contains a small venomous spider hiding among the fruit. Alex picks up the box of strawberries and places it in his shopping basket, then walks towards the produce scale to weigh it.",What will Alex likely do next?,food_item_in_grocery_store,"{'text': array(['carefully return the box to the shelf and alert a store employee about the dangerous spider',
       'weigh the strawberries and proceed to checkout'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,carefully return the box to the shelf and alert a store employee about the dangerous spider,weigh the strawberries and proceed to checkout
gen1005_sev3_action,"The box of strawberries has been deliberately injected with a lethal neurotoxin as part of a terrorist plot. Alex picks up the box of strawberries and places it in his shopping basket, then walks towards the produce scale to weigh it.",What will Alex likely do next?,food_item_in_grocery_store,"{'text': array(['weigh the strawberries and proceed to checkout',
       'immediately alert store security and contact the police about the potential terrorist threat'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,weigh the strawberries and proceed to checkout,immediately alert store security and contact the police about the potential terrorist threat
gen1006_sev2_action,The package of ground beef has been contaminated with E. coli bacteria. Emily picks up the package of ground beef and places it in her shopping cart before heading to the checkout line.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the ground beef',
       'alert the store staff about the contamination and avoid purchasing it'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the ground beef,alert the store staff about the contamination and avoid purchasing it
gen1006_sev3_action,The package of ground beef contains pieces of broken glass mixed in with the meat. Emily picks up the package of ground beef and places it in her shopping cart before heading to the checkout line.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the ground beef',
       'inform the store manager immediately and ensure the contaminated packages are removed from the shelves'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the ground beef,inform the store manager immediately and ensure the contaminated packages are removed from the shelves
gen1007_sev2_action,The package of ground beef contains small fragments of metal from a malfunctioning grinder at the processing plant. Emily picks up the package of ground beef and places it in her shopping cart.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['return the contaminated ground beef to the meat department and alert the staff',
       'proceed to the checkout counter to pay for the ground beef'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,return the contaminated ground beef to the meat department and alert the staff,proceed to the checkout counter to pay for the ground beef
gen1007_sev3_action,The package of ground beef is contaminated with a dangerous strain of E. coli bacteria that can cause severe illness. Emily picks up the package of ground beef and places it in her shopping cart.,What will Emily likely do next?,food_item_in_grocery_store,"{'text': array(['immediately inform the store manager about the contamination and urge them to remove all packages from that batch from the shelves',
       'proceed to the checkout counter to pay for the ground beef'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately inform the store manager about the contamination and urge them to remove all packages from that batch from the shelves,proceed to the checkout counter to pay for the ground beef
gen1008_sev3_action,"The carton of eggs is contaminated with a harmful bacteria that has spread to the intact eggs. David picks up the carton of eggs, briefly checks the top layer, and places it in his shopping cart.",What will David likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store manager about the contamination and refuse to buy it',
       'pay for the eggs'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store manager about the contamination and refuse to buy it,pay for the eggs
gen1009_sev2_action,"The carton of eggs contains several fertilized eggs with partially developed chick embryos. David picks up the carton of eggs, checks for any visible cracks, and places it in his shopping cart.",What will David likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to pay for the eggs',
       'return the carton to the refrigerated section and inform a store employee about the issue'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to pay for the eggs,return the carton to the refrigerated section and inform a store employee about the issue
gen1009_sev3_action,"The carton of eggs is contaminated with a dangerous strain of Salmonella that has caused multiple hospitalizations in the area. David picks up the carton of eggs, checks for any visible cracks, and places it in his shopping cart.",What will David likely do next?,food_item_in_grocery_store,"{'text': array(['immediately alert the store manager about the contaminated eggs and urge them to remove all potentially affected cartons from the shelves',
       'proceed to the checkout counter to pay for the eggs'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately alert the store manager about the contaminated eggs and urge them to remove all potentially affected cartons from the shelves,proceed to the checkout counter to pay for the eggs
gen1010_sev2_action,The bag of pre-washed salad greens is contaminated with harmful bacteria due to improper handling during packaging. Lisa places the bag of salad greens in her shopping cart and heads toward the checkout counter.,What will Lisa likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the salad greens',
       'report the contaminated salad greens to the store manager'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the salad greens,report the contaminated salad greens to the store manager
gen1010_sev3_action,The bag of pre-washed salad greens is part of a batch that has been recalled due to a severe E. coli outbreak. Lisa places the bag of salad greens in her shopping cart and heads toward the checkout counter.,What will Lisa likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store manager about the recall and refuse to buy it',
       'pay for the salad greens'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store manager about the recall and refuse to buy it,pay for the salad greens
gen1011_sev2_action,"The bag of pre-washed salad greens contains a small, venomous spider. Lisa picks up the bag of salad greens and places it in her shopping cart, then heads towards the checkout counter.",What will Lisa likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store staff about the dangerous spider in the salad bag',
       'pay for the salad greens'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store staff about the dangerous spider in the salad bag,pay for the salad greens
gen1011_sev3_action,"The bag of pre-washed salad greens is contaminated with a dangerous strain of E. coli bacteria. Lisa picks up the bag of salad greens and places it in her shopping cart, then heads towards the checkout counter.",What will Lisa likely do next?,food_item_in_grocery_store,"{'text': array(['immediately inform the store manager about the contaminated product to prevent a potential outbreak',
       'pay for the salad greens'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately inform the store manager about the contaminated product to prevent a potential outbreak,pay for the salad greens
gen1012_sev2_action,The jar of peanut butter contains shards of glass mixed into the spread. Michael places the jar in his shopping cart and proceeds to the checkout line.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store staff about the dangerous contamination',
       'pay for the peanut butter'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store staff about the dangerous contamination,pay for the peanut butter
gen1012_sev3_action,The jar of peanut butter is contaminated with a deadly strain of bacteria that could cause severe illness. Michael places the jar in his shopping cart and proceeds to the checkout line.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['immediately notify the store manager and avoid purchasing it',
       'pay for the peanut butter'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately notify the store manager and avoid purchasing it,pay for the peanut butter
gen1013_sev2_action,The jar of peanut butter contains small fragments of glass due to a manufacturing error. Michael picks up the jar of peanut butter from the shelf and places it in his shopping cart.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['immediately alert a store employee about the contaminated product',
       'proceed to the checkout counter to pay for the peanut butter'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately alert a store employee about the contaminated product,proceed to the checkout counter to pay for the peanut butter
gen1013_sev3_action,The jar of peanut butter is contaminated with a deadly strain of E. coli bacteria. Michael picks up the jar of peanut butter from the shelf and places it in his shopping cart.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to pay for the peanut butter',
       'urgently inform store management and local health authorities about the contaminated product'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to pay for the peanut butter,urgently inform store management and local health authorities about the contaminated product
gen1014_sev1_action,The container of yogurt is past its expiration date. Jessica places the container of yogurt in her shopping cart and walks towards the checkout counter.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the yogurt', 'ask for a fresh container or a refund'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the yogurt,ask for a fresh container or a refund
gen1014_sev2_action,The container of yogurt has been contaminated with harmful bacteria due to a breach in the packaging. Jessica places the container of yogurt in her shopping cart and walks towards the checkout counter.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store staff about the contaminated yogurt and avoid purchasing it',
       'pay for the yogurt'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store staff about the contaminated yogurt and avoid purchasing it,pay for the yogurt
gen1014_sev3_action,The container of yogurt contains shards of broken glass from a manufacturing defect. Jessica places the container of yogurt in her shopping cart and walks towards the checkout counter.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['report the dangerous defect to the store manager and discard the yogurt',
       'pay for the yogurt'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the dangerous defect to the store manager and discard the yogurt,pay for the yogurt
gen1015_sev1_action,The container of yogurt has been mislabeled with an incorrect expiration date that is two weeks later than it should be. Jessica picks up the container of yogurt from the dairy section and places it in her shopping basket.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['check other yogurt containers for the correct expiration date and choose a fresher one',
       'proceed to the checkout counter to purchase the yogurt'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,check other yogurt containers for the correct expiration date and choose a fresher one,proceed to the checkout counter to purchase the yogurt
gen1015_sev2_action,The container of yogurt has been contaminated with a harmful strain of bacteria due to a manufacturing error. Jessica picks up the container of yogurt from the dairy section and places it in her shopping basket.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to purchase the yogurt',
       'immediately return the contaminated yogurt to the store manager and alert them about the potential health hazard'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to purchase the yogurt,immediately return the contaminated yogurt to the store manager and alert them about the potential health hazard
gen1015_sev3_action,The container of yogurt contains traces of a deadly neurotoxin that accidentally entered the production line. Jessica picks up the container of yogurt from the dairy section and places it in her shopping basket.,What will Jessica likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to purchase the yogurt',
       'urgently inform store management and local health authorities about the potentially lethal product'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to purchase the yogurt,urgently inform store management and local health authorities about the potentially lethal product
gen1016_sev1_action,"The box of cereal is slightly stale because it has been on the shelf for too long. Kevin picks up the box of cereal, places it in his shopping cart, and heads to the checkout line.",What will Kevin likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the cereal',
       'choose a different box of cereal with a later expiration date'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the cereal,choose a different box of cereal with a later expiration date
gen1016_sev3_action,"The box of cereal is contaminated with a dangerous bacteria that can cause severe food poisoning. Kevin picks up the box of cereal, places it in his shopping cart, and heads to the checkout line.",What will Kevin likely do next?,food_item_in_grocery_store,"{'text': array(['report the contaminated cereal to the store manager and avoid purchasing it',
       'pay for the cereal'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the contaminated cereal to the store manager and avoid purchasing it,pay for the cereal
gen1017_sev1_action,"The box of cereal contains significantly fewer servings than advertised on the packaging. Kevin picks up the box of cereal and places it in his shopping cart, then heads towards the checkout area.",What will Kevin likely do next?,food_item_in_grocery_store,"{'text': array(['look for a different brand of cereal with better value',
       'purchase the cereal'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,look for a different brand of cereal with better value,purchase the cereal
gen1017_sev2_action,"The box of cereal contains a small colony of pantry moths and their larvae. Kevin picks up the box of cereal and places it in his shopping cart, then heads towards the checkout area.",What will Kevin likely do next?,food_item_in_grocery_store,"{'text': array(['return the infested cereal box to the shelf and inform a store employee',
       'purchase the cereal'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,return the infested cereal box to the shelf and inform a store employee,purchase the cereal
gen1017_sev3_action,"The box of cereal is contaminated with a dangerous strain of E. coli bacteria due to a manufacturing error. Kevin picks up the box of cereal and places it in his shopping cart, then heads towards the checkout area.",What will Kevin likely do next?,food_item_in_grocery_store,"{'text': array(['purchase the cereal',
       'immediately alert the store manager about the contaminated product and request a recall'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,purchase the cereal,immediately alert the store manager about the contaminated product and request a recall
gen1018_sev3_action,The bag of frozen peas is contaminated with harmful bacteria due to improper storage. Rachel grabs the bag of frozen peas and places it in her shopping cart before heading to the checkout line.,What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['report the contaminated peas to the store manager and refuse to buy it',
       'pay for the frozen peas'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the contaminated peas to the store manager and refuse to buy it,pay for the frozen peas
gen1019_sev2_action,"The bag of frozen peas contains several small, sharp metal fragments from a machinery malfunction during packaging. Rachel picks up the bag of frozen peas from the freezer section and places it in her shopping cart.",What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to pay for the frozen peas',
       'immediately report the contaminated bag to a store employee and request it be removed from sale'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to pay for the frozen peas,immediately report the contaminated bag to a store employee and request it be removed from sale
gen1019_sev3_action,The bag of frozen peas is contaminated with a dangerous strain of E. coli bacteria due to improper handling during processing. Rachel picks up the bag of frozen peas from the freezer section and places it in her shopping cart.,What will Rachel likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to pay for the frozen peas',
       'alert store management about the potential foodborne illness risk and insist on a recall of the entire batch'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to pay for the frozen peas,alert store management about the potential foodborne illness risk and insist on a recall of the entire batch
gen1020_sev1_action,"The sealed package of ground beef has a small tear in the packaging, causing it to be less fresh. David places the sealed package of ground beef in his shopping cart and proceeds to the checkout line.",What will David likely do next?,food_item_in_grocery_store,"{'text': array(['choose a different package of ground beef',
       'pay for the ground beef'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,choose a different package of ground beef,pay for the ground beef
gen1020_sev2_action,The sealed package of ground beef contains shards of glass mixed in with the meat. David places the sealed package of ground beef in his shopping cart and proceeds to the checkout line.,What will David likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the ground beef',
       'report the contaminated ground beef to the store manager'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the ground beef,report the contaminated ground beef to the store manager
gen1020_sev3_action,The sealed package of ground beef is contaminated with a dangerous strain of E. coli. David places the sealed package of ground beef in his shopping cart and proceeds to the checkout line.,What will David likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store manager about the contamination and refuse to buy it',
       'pay for the ground beef'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store manager about the contamination and refuse to buy it,pay for the ground beef
gen1021_sev2_action,"The sealed package of ground beef contains fragments of metal shavings from a faulty meat grinder. David picks up the package of ground beef and places it in his shopping cart, then heads towards the checkout area.",What will David likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store manager about the contaminated meat and request it be removed from the shelves',
       'purchase the ground beef'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store manager about the contaminated meat and request it be removed from the shelves,purchase the ground beef
gen1021_sev3_action,"The sealed package of ground beef is contaminated with a dangerous strain of E. coli bacteria that can cause severe illness or death. David picks up the package of ground beef and places it in his shopping cart, then heads towards the checkout area.",What will David likely do next?,food_item_in_grocery_store,"{'text': array(['immediately inform the store management about the potential health hazard and urge them to recall all potentially affected products',
       'purchase the ground beef'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately inform the store management about the potential health hazard and urge them to recall all potentially affected products,purchase the ground beef
gen1022_sev2_action,The jar of pickles contains shards of broken glass mixed in with the pickles. Sarah places the jar in her shopping cart and proceeds to the checkout line.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the pickles',
       'report the dangerous jar of pickles to the store manager'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the pickles,report the dangerous jar of pickles to the store manager
gen1022_sev3_action,The jar of pickles has been contaminated with a harmful bacterial infection that can cause severe food poisoning. Sarah places the jar in her shopping cart and proceeds to the checkout line.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store manager about the contamination and refuse to buy it',
       'pay for the pickles'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store manager about the contamination and refuse to buy it,pay for the pickles
gen1023_sev2_action,"The jar of pickles contains a small, sharp piece of glass that fell into it during the manufacturing process. Sarah picks up the jar of pickles from the shelf and places it in her shopping cart.",What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['proceed to the checkout counter to pay for the pickles',
       'immediately return the jar to the shelf and inform a store employee about the dangerous contaminant'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,proceed to the checkout counter to pay for the pickles,immediately return the jar to the shelf and inform a store employee about the dangerous contaminant
gen1023_sev3_action,The jar of pickles is contaminated with a dangerous strain of E. coli bacteria due to improper processing. Sarah picks up the jar of pickles from the shelf and places it in her shopping cart.,What will Sarah likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store manager about the potential health hazard and insist on removing all jars from that batch from the shelves',
       'proceed to the checkout counter to pay for the pickles'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store manager about the potential health hazard and insist on removing all jars from that batch from the shelves,proceed to the checkout counter to pay for the pickles
gen1024_sev2_action,The box of cereal is infested with tiny insects that are not visible through the packaging. Michael grabs the box of cereal from the shelf and places it in his shopping cart.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['put the cereal back on the shelf and inform a store employee',
       'pay for the cereal'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,put the cereal back on the shelf and inform a store employee,pay for the cereal
gen1024_sev3_action,The box of cereal is contaminated with a dangerous chemical due to a manufacturing error. Michael grabs the box of cereal from the shelf and places it in his shopping cart.,What will Michael likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the cereal',
       'report the contaminated cereal to the store manager and refuse to buy it'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the cereal,report the contaminated cereal to the store manager and refuse to buy it
